CODICE_ART,CODICE_ALT,DESCRIZION,UM,CODICE_CAT,CODICE_FOR,CODICE_MAR,GIACEZ_INI,ALIQ_IVA,LISTINO_1,RIC_1,LISTINO_2,RIC_2,LISTINO_3,RIC_3,DATA_ULT_C,DATA_ULT_S,ESISTENZA,ESI_COLLI,S_SCORTA,RICA,PRZ_ACQ,PRZ_AGG,PRZ_MED,NOTE,COLORE,REPARTO,PESO,PESO_MED,TARA,PZXCT,PROVV,FOTO,DATA_INS,BILANCIA,PEN_FORN,ULT_FORN,TOUCH,Gruppo,Sottogruppo,sco_max,NCOL_GIRIXLS,NCOL_NTVXLS,cat_level_4,cat_level_5,data_scad,TP_taglia,cod_compatib,no_sconto,ult_sconto,flag_var,punti_reg,no_provv,cod_promoz,ric_acq0,Listino_4,Listino_5,cod_ei
82411657,8300584753623,STROFINACCI 1.00,PZ,BIANCHERIA CASA,SCONOSCIUTO,SCONOSCIUTO,335.00,22.0,1.0000,115.70,1.0000,115.70,0.0000,-100.0,07/07/2026,31/08/2026,1445.000,-11,10.000,0.00,0.3800,0.0000,0.4418,,,29,0.000,0.000,0.000,0,0.00,,17/08/2017,,1,100,T,STROFINACCI,,,0,0,,FAMILY,,,,F,0.00,T,0,F,,0.00,0.0000,3.5000,
86172394,86172394,GREMBIULE C/E S/PETTORINA,PZ,BIANCHERIA CASA,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,1.9900,126.55,1.9900,126.55,0.0000,-100.0,12/07/2021,28/12/2019,0.000,0,5.000,,0.7200,0.0000,.34028E+39,,,1,,,,,0.00,,12/02/2010,,,1,,GREMBIULE,,,,,,FAMILY,,,,,0.00,F,,,,,,,
88549620,88549620,TOVAGLIA PANAMA X12,PZ,BIANCHERIA CASA,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,3.9900,120.98,3.9900,120.98,0.0000,-100.0,02/12/2013,03/10/2017,0.000,0,5.000,,1.4800,0.0000,.34028E+39,,T,1,,,,,0.00,,01/12/2010,,,1,,TOVAGLIA,X12,,,,,FAMILY,,,,,0.00,F,,,,,,,
84578037,84578037,IMBOTTITURA PIC,Pz,ARREDO CASA,SCONOSCIUTO,SCONOSCIUTO,794.00,22.0,2.4000,116.18,2.4000,116.18,0.0000,-100.0,13/05/2026,26/08/2026,698.000,-9,6.000,0.00,0.9100,0.0000,1.1497,,,6,0.000,0.000,0.000,0,0.00,,20/02/2019,,1,100,T,IMBOTTITURA,,,0,0,,FAMILY,,,,F,0.00,F,0,F,,0.00,0.0000,1.4000,
8300355613996,8300355613996,COPRIMATERASSO BASSETTI 1P,PZ,BIANCHERIA LETTO,BASSETTI,BASSETTI,0.00,22.0,22.5000,115.70,18.9900,82.05,,,12/12/2013,04/09/2018,0.000,0,4.000,,8.5500,0.0000,.34028E+39,,,1,,,,,0.00,,06/07/2010,,,1,,COPRIMATERASSO,SINGOLO,,,,,FAMILY,,,,,0.00,F,,,,,,,
82580124,82580124,SLIP STOCK 1.00,PZ,MUTANDERIA,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,1.0000,115.70,1.0000,115.70,0.0000,-100.0,22/05/2026,13/08/2026,0.000,0,4.000,,0.3800,0.0000,.34028E+39,,,1,,,,,0.00,,16/02/2010,,1,100,,SLIP,UNISEX,,,,,FAMILY,,,,,0.00,F,,,,,,,
87022223,87022223,ASCIUGAMANI ART. ASS/TI,PZ,BIANCHERIA BAGNO,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,1.8000,116.97,1.8000,116.97,0.0000,-100.0,18/08/2026,18/08/2026,0.000,-6,5.000,,0.6800,0.0000,0.6800,,,1,,,,,0.00,,13/03/2010,,1,100,T,ASCIUGAMANI,,,,,SPUGNA,FAMILY,,,,,0.00,F,,,,,,,
88216133,88216133,CALZE LANA BAROCCO CORTO,PA,CALZE,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,1.8000,116.97,1.8000,116.97,0.0000,-100.0,26/08/2022,26/08/2022,0.000,0,6.000,,0.6800,0.0000,.34028E+39,,,1,,,,,0.00,,10/04/2013,,,1,,CALZA CORTA,UNISEX,,,,,FAMILY,,,,,0.00,F,,,,,,,
87928433,87928433,SLIP/TOP S.P. RIMANENZA,PZ,MUTANDERIA,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,1.9900,126.55,1.9900,126.55,0.0000,-100.0,25/05/2006,09/10/2018,0.000,0,4.000,,0.7200,0.0000,.34028E+39,,,1,,,,,0.00,,16/03/2012,,,,,SLIP,DONNA,,,,,FAMILY,,,,,,F,,,,,,,
85487598,85487598,FASCE/BRASSIERE MICROFIBRA,PZ,MAGLIERIA,SCONOSCIUTO,SCONOSCIUTO,0.00,22.0,2.9900,114.98,2.9900,114.98,0.0000,-100.0,30/03/2024,16/05/2023,0.000,0,6.000,,1.1400,0.0000,.34028E+39,,,11,,,,,0.00,,10/05/2010,,,1,T,FASCIA,,,,,,FAMILY,,,,,0.00,F,,,,,,,
