TIPO,DATA,DESCRIZION,CAUSALE,CODICE_ART,QTA,PRZ_ACQ,SCONTO,LISTINO_1,LISTINO_2,ESISTENZA,CLIENTE,RAGSOC1,FAT_BOL,NUMBOLLA,NUMFATT,COLLI,LOTTO_ING,ESI_LOTTOIN,LOTTO_USC,TIPO_SCHD,IT_CE,PARTITA,LAV_FINALE,OPE,FILIALE,spunta,codice_cat,impegno
S,02/01/2026,Scontrino n°      1,Taglio Prezzo,8388776726501,1.000,1.9000,0.00,2.9900,0.0000,22.000,Cassa,MORENO TEX,,,,0,,0.00,,,,, COPPIA SPUGNA 1+1 POP COR.Pz,2,06,F,BIANCHERIA BAGNO,F
S,02/01/2026,Scontrino n°      2,Vendita/Reso,8388776847084,1.000,3.2400,0.00,9.9900,0.0000,7.000,Cassa,SARTORIA DELL INTIMO,,,,0,,0.00,,,,,MAGLIA UOMO MABRAT C/COT .PZ,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°      2,Vendita/Reso,8388776836996,1.000,3.7900,0.00,9.9900,0.0000,9.000,Cassa,SARTORIA DELL INTIMO,,,,0,,0.00,,,,,MAGLIA UOMO MABRAT COT M/.Pz,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°      3,Vendita/Reso,8051931292998,1.000,4.9400,0.00,12.9900,0.0000,23.000,Cassa,DE FONSECA,,,,0,,0.00,,,,,PANTOFOLA DONNA DE FONSEC.Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°      3,Vendita/Reso,8051931346554,1.000,4.9400,0.00,12.9900,0.0000,12.000,Cassa,DE FONSECA,,,,0,,0.00,,,,,PANTOFOLA UOMO DE FONSECA.Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°      3,Vendita/Reso,8388776836958,2.000,2.8800,0.00,7.9900,0.0000,24.000,Cassa,SARTORIA DELL INTIMO,,,,0,,0.00,,,,,MAGLIA UOMO MABRAT COT M/.Pz,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°      4,Vendita/Reso,GD107.NER.4,1.000,2.7600,0.00,7.9900,0.0000,4.000,Cassa,COTONELLA,,,,0,,0.00,,,,,CULOTTA DONNA COTONE.NER,2,06,F,MUTANDERIA,F
S,02/01/2026,Scontrino n°      4,Vendita/Reso,8388776849729,1.000,3.5100,0.00,9.9900,0.0000,20.000,Cassa,SARTORIA DELL INTIMO,,,,0,,0.00,,,,,MAGLIA DONNA MABRAT C/COT.PZ,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°      5,Vendita con Sconto,87476408,1.000,3.3800,50.00,4.4900,0.0000,-1.000,Cassa,A.D. GROUP,,,,0,,0.00,,,,, TOVAGLIA NATALIZIA FRUTTA.Pz,2,06,F,NATALIZIO,F
S,02/01/2026,Scontrino n°      5,Vendita con Sconto,84550798,1.000,9.9000,50.00,4.9900,0.0000,1.000,Cassa,FRUTTA,,,,0,,0.00,,,,, TOVAGLIA NATALIZIA FRUTTA.Pz,2,06,F,NATALIZIO,F
S,02/01/2026,Scontrino n°      6,Vendita con Sconto,8300584956413,1.000,7.1000,30.00,12.9500,0.0000,10.000,Cassa,GARY,,,,0,,0.00,,,,, PIGIAMA BIMBO MARTELLINA .Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°      7,Vendita/Reso,8033540320521,1.000,1.5200,0.00,2.9900,0.0000,39.000,Cassa,COMMERCIAL CALZA,,,,0,,0.00,,,,,CALZA BIMBI DAG LUNGO E15.Pz,2,06,F,CALZE,F
S,02/01/2026,Scontrino n°      8,Taglio Prezzo,8015192726326,1.000,5.7000,0.00,10.4900,0.0000,1.000,Cassa,ANYWAY,,,,0,,0.00,,,,, VESTAGLIA DONNA ANYWAY CO.Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°      8,Taglio Prezzo,606707328593,1.000,18.0000,0.00,29.9900,0.0000,2.000,Cassa,A.D. GROUP,,,,0,,0.00,,,,, TRAPUNTA GALBISSIMA ALESS.Pz,2,06,F,BIANCHERIA LETTO,F
S,02/01/2026,Scontrino n°      9,Vendita/Reso,8000000287052,1.000,1.9000,0.00,4.9900,0.0000,19.000,Cassa,OPC TEXTILES,,,,0,,0.00,,,,,TAPPETO HOTEL MY HOUSE BA,2,06,F,BIANCHERIA LETTO,F
S,02/01/2026,Scontrino n°      9,Vendita/Reso,8697769081856,1.000,3.8000,0.00,9.9900,0.0000,19.000,Cassa,KRISHNA INTERNATIONAL,,,,0,,0.00,,,,,TAPPETO BAGNO LIPARI TRIS,2,06,F,BIANCHERIA BAGNO,F
S,02/01/2026,Scontrino n°     10,Vendita/Reso,8008583028239,1.000,1.6000,0.00,1.6000,0.0000,9.000,Cassa,GOLDEN LADY,,,,0,,0.00,,,,,COLLANT DONNA GOLDEN LADY.Pz,2,06,F,COLLANTERIA,F
S,02/01/2026,Scontrino n°     11,Vendita/Reso,8097425687611,1.000,4.9900,0.00,4.9900,0.0000,-1.000,Cassa,SCONOSCIUTO,,,,0,,0.00,,,,,FASCE/BRASSIERE 4.99     .PZ,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°     11,Vendita/Reso,87794526,1.000,3.9000,0.00,3.9900,0.0000,203.000,Cassa,SCONOSCIUTO,,,,0,,0.00,,,,,TOP MICROFIBRA € 3.90    .Pz,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°     11,Vendita/Reso,8054601009582,2.000,1.1400,0.00,2.9900,0.0000,38.000,Cassa,INTIMO ARTU SRL,,,,0,,0.00,,,,,SLIP BIMBA JADEA 176/C CO.Pz,2,06,F,MUTANDERIA,F
S,02/01/2026,Scontrino n°     11,Vendita/Reso,2955513601832,1.000,4.9000,0.00,4.9900,0.0000,8.000,Cassa,BEST CALZE,,,,0,,0.00,,,,,CALZA BIMBO RB C/COT RBBI.Pz,2,06,F,CALZE,F
S,02/01/2026,Scontrino n°     11,Vendita/Reso,8388777521198,1.000,3.5000,0.00,7.9900,0.0000,2.000,Cassa,SARTORIA DELL INTIMO,,,,0,,0.00,,,,,LUPETTO BIMBI MABRAT C/CO.PZ,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°     11,Vendita/Reso,8388776854976,1.000,3.1500,0.00,8.9900,0.0000,6.000,Cassa,SARTORIA DELL INTIMO,,,,0,,0.00,,,,,MAGLIA BIMBA MABRAT C/COT.PZ,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°     12,Vendita/Reso,8032551295897,2.000,2.0900,0.00,5.5000,0.0000,26.000,Cassa,INTIMO CUORE,,,,0,,0.00,,,,,QUADRATO COTONE ART. 589 .Pz,2,06,F,INFANZIA,F
S,02/01/2026,Scontrino n°     12,Vendita con Sconto,8208443378393,1.000,5.3200,50.00,6.9900,0.0000,7.000,Cassa,EYSA,,,,0,,0.00,,,,, COPRITAVOLA 140X180 EYSA .Pz,2,06,F,BIANCHERIA CASA,F
S,02/01/2026,Scontrino n°     13,Vendita/Reso,8051931346554,1.000,4.9400,0.00,12.9900,0.0000,11.000,Cassa,DE FONSECA,,,,0,,0.00,,,,,PANTOFOLA UOMO DE FONSECA.Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°     14,Taglio Prezzo,765708031236,1.000,18.0000,0.00,29.9900,0.0000,4.000,Cassa,MASTRO BIANCO,,,,0,,0.00,,,,, TRAPUNTA MASTRO BIANCO ME.Pz,2,06,F,BIANCHERIA LETTO,F
S,02/01/2026,Scontrino n°     14,Taglio Prezzo,0606707564328,1.000,10.0000,0.00,27.9900,0.0000,0.000,Cassa,A.D. GROUP,,,,0,,0.00,,,,, PIUMINO VENICE MATRIMONIA.Pz,2,06,F,BIANCHERIA LETTO,F
S,02/01/2026,Scontrino n°     14,Vendita/Reso,8053480409773,-1.000,20.9000,0.00,54.9900,0.0000,2.000,Cassa,CLAN,,,,0,,0.00,,,,,TUTA DONNA LOTTO CINIGLIA.Pz,2,06,F,TEMPO LIBERO,F
S,02/01/2026,Scontrino n°     15,Vendita/Reso,8051040865427,1.000,3.4200,0.00,8.9900,0.0000,13.000,Cassa,CT SRL,,,,0,,0.00,,,,,CALZA UOMO CAT REAL WORK,2,06,F,CALZE,F
S,02/01/2026,Scontrino n°     16,Vendita/Reso,8044046296050,1.000,3.0400,0.00,7.9900,0.0000,17.000,Cassa,S&C GLOBAL IMPORT,,,,0,,0.00,,,,,QUADRATI DI GARZA TRIS ST.Pz,2,06,F,INFANZIA,F
S,02/01/2026,Scontrino n°     17,Vendita/Reso,8008583028277,4.000,0.6100,0.00,1.6000,0.0000,7.000,Cassa,GOLDEN LADY,,,,0,,0.00,,,,,COLLANT DONNA GOLDEN LADY.Pz,2,06,F,COLLANTERIA,F
S,02/01/2026,Scontrino n°     18,Vendita con Sconto,8053040231431,1.000,11.9000,50.00,14.9900,0.0000,4.000,Cassa,COLORIAMOCI,,,,0,,0.00,,,,, PIGIAMA UOMO IL GRANCHIO .Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°     18,Vendita con Sconto,8053040233091,1.000,11.9000,50.00,14.9900,0.0000,8.000,Cassa,COLORIAMOCI,,,,0,,0.00,,,,, PIGIAMA DONNA IL GRANCHIO.Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°     19,Vendita/Reso,8388776849743,2.000,3.5100,0.00,9.9900,0.0000,12.000,Cassa,SARTORIA DELL INTIMO,,,,0,,0.00,,,,,MAGLIA DONNA MABRAT C/COT.PZ,2,06,F,MAGLIERIA,F
S,02/01/2026,Scontrino n°     20,Taglio Prezzo,8388776507520,1.000,1.0800,0.00,1.9900,0.0000,24.000,NICA CARMELA,SARTORIA DELL INTIMO,,,,0,,0.00,,,,, SLIP UOMO LANCETTI LS4220.PZ,2,06,F,MUTANDERIA,F
S,02/01/2026,Scontrino n°     20,Taglio Prezzo,8388776518311,1.000,1.0800,0.00,1.9900,0.0000,2.000,NICA CARMELA,SARTORIA DELL INTIMO,,,,0,,0.00,,,,, SLIP UOMO LANCETTI LS4260.PZ,2,06,F,MUTANDERIA,F
S,02/01/2026,Scontrino n°     20,Taglio Prezzo,8388776507612,1.000,1.0800,0.00,1.9900,0.0000,3.000,NICA CARMELA,SARTORIA DELL INTIMO,,,,0,,0.00,,,,, SLIP UOMO LANCETTI LS4230.PZ,2,06,F,MUTANDERIA,F
S,02/01/2026,Scontrino n°     20,Taglio Prezzo,8388776507612,1.000,1.0800,0.00,1.9900,0.0000,2.000,NICA CARMELA,SARTORIA DELL INTIMO,,,,0,,0.00,,,,, SLIP UOMO LANCETTI LS4230.PZ,2,06,F,MUTANDERIA,F
S,02/01/2026,Scontrino n°     20,Taglio Prezzo,8388776507520,1.000,1.0800,0.00,1.9900,0.0000,23.000,NICA CARMELA,SARTORIA DELL INTIMO,,,,0,,0.00,,,,, SLIP UOMO LANCETTI LS4220.PZ,2,06,F,MUTANDERIA,F
S,02/01/2026,Scontrino n°     21,Vendita con Sconto,S30066,1.000,29.9900,30.00,20.9900,0.0000,2.000,Cassa,GARY,,,,0,,0.00,,,,, VESTAGLIA BIMBA GARY P.MI.Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°     21,Taglio Prezzo,8388776729182,1.000,3.6000,0.00,4.9900,0.0000,-3.000,Cassa,MORENO TEX,,,,0,,0.00,,,,, PANTOFOLA DONNA SUPREMA S.Pz,2,06,F,PIGIAMERIA,F
S,02/01/2026,Scontrino n°     22,Vendita/Reso,8051198431406,1.000,6.9900,0.00,6.9900,0.0000,7.000,Cassa,KRONOS,,,,0,,0.00,,,,,CALZA DONNA CHARRO CORTA,2,06,F,CALZE,F
S,02/01/2026,Scontrino n°     23,Taglio Prezzo,8388776507537,2.000,1.0800,0.00,1.9900,0.0000,14.000,Cassa,SARTORIA DELL INTIMO,,,,0,,0.00,,,,, SLIP UOMO LANCETTI LS4220.PZ,2,06,F,MUTANDERIA,F
S,02/01/2026,Scontrino n°     24,Taglio Prezzo,8388776732809,1.000,11.4000,0.00,14.9900,0.0000,6.000,Cassa,MORENO TEX,,,,0,,0.00,,,,, TRAPUNTA SUPREMA BENNY MI.Pz,2,06,F,BIANCHERIA LETTO,F
S,02/01/2026,Scontrino n°     24,Vendita/Reso,8056598420043,2.000,3.8000,0.00,6.9900,0.0000,13.000,Cassa,FANCY HOME,,,,0,,0.00,,,,,SET SPUGNA F.H. 12PZ MORB,2,06,F,BIANCHERIA BAGNO,F
S,02/01/2026,Scontrino n°     25,Taglio Prezzo,8054042320352,1.000,11.0000,0.00,9.9900,0.0000,26.000,Cassa,EM.CR.SRL,,,,0,,0.00,,,,, TUTA UOMO CHARRO FELPATA .Pz,2,06,F,TEMPO LIBERO,F
S,02/01/2026,Scontrino n°     26,Vendita con Sconto,8000842580199,1.000,34.2000,30.00,52.4900,0.0000,1.000,Cassa,CALEFFI,,,,0,,0.00,,,,, TRAPUNTA CALEFFI MODERN S.Pz,2,06,F,BIANCHERIA LETTO,F
S,02/01/2026,Scontrino n°     27,Vendita/Reso,84578037,2.000,0.9100,0.00,2.4000,0.0000,14.000,Cassa,SCONOSCIUTO,,,,0,,0.00,,,,,IMBOTTITURA PIC          .Pz,2,06,F,ARREDO CASA,F
S,02/01/2026,Scontrino n°     28,Vendita/Reso,83460210,1.600,1.3500,0.00,3.9900,0.0000,367.430,Cassa,GEMITEX,,,,0,,0.00,,,,,CERATA A METRO H1.40,2,06,F,BIANCHERIA CASA,F
